epoch,dice_coef,loss,lr,precision,recall,val_dice_coef,val_loss,val_precision,val_recall
40,0.979175865650177,0.0022342668380588293,1e-05,0.9897298812866211,0.9733386039733887,0.8474574685096741,0.06239204481244087,0.8775951862335205,0.837494432926178
41,0.9796832799911499,0.0021871933713555336,1e-05,0.9903985261917114,0.9737426042556763,0.8470993638038635,0.06244760379195213,0.8842626214027405,0.8311519622802734
42,0.979926347732544,0.002156497212126851,1e-05,0.9906008839607239,0.9741368889808655,0.8440148830413818,0.06304429471492767,0.89593106508255,0.8155815601348877
43,0.9802151918411255,0.002110823756083846,1e-05,0.9909389019012451,0.9745316505432129,0.8463839292526245,0.06278073787689209,0.8892604112625122,0.8256930112838745
44,0.9806627631187439,0.002078732242807746,1e-05,0.991462230682373,0.9749196767807007,0.8447689414024353,0.06620223075151443,0.8842865228652954,0.8274209499359131
45,0.9808686375617981,0.002048836788162589,1e-05,0.9917235374450684,0.9751786589622498,0.8477908968925476,0.06414297968149185,0.8837726712226868,0.8329709768295288
46,0.9811352491378784,0.0020270184613764286,1e-05,0.9921475648880005,0.9754244089126587,0.8458760380744934,0.06562133133411407,0.8869825005531311,0.8269846439361572
47,0.9813739657402039,0.0020009982399642467,1e-05,0.9922832250595093,0.9757861495018005,0.8452936410903931,0.06609515845775604,0.890072762966156,0.8230860233306885
48,0.9816531538963318,0.0019819822628051043,1e-05,0.9925726056098938,0.976161539554596,0.841161847114563,0.07050278037786484,0.8914536237716675,0.8149688839912415
49,0.9817807078361511,0.0019592028111219406,1e-05,0.9927448034286499,0.9762675166130066,0.8505053520202637,0.06609062850475311,0.8797032833099365,0.840635359287262
