epoch,dice_coef,loss,lr,precision,recall,val_dice_coef,val_loss,val_precision,val_recall
0,0.7046474814414978,0.07128220796585083,1e-04,0.7559504508972168,0.716982901096344,0.7470813989639282,0.04146573692560196,0.7798788547515869,0.754653811454773
1,0.819810152053833,0.02707698754966259,1e-04,0.8612666130065918,0.8028050661087036,0.7353835701942444,0.038226354867219925,0.8765753507614136,0.6626521348953247
2,0.8611966371536255,0.01837083138525486,1e-04,0.8918699026107788,0.8445131778717041,0.543423593044281,0.06999874114990234,0.6878239512443542,0.5204983949661255
3,0.8830410242080688,0.0150066539645195,1e-04,0.9063381552696228,0.8694527745246887,0.803555428981781,0.038212958723306656,0.8257991075515747,0.8117530941963196
4,0.8943169116973877,0.01308464165776968,1e-04,0.9146615266799927,0.8815231323242188,0.09584696590900421,0.23833239078521729,0.4194388687610626,0.06126660853624344
5,0.9058713316917419,0.011353828012943268,1e-04,0.9246730208396912,0.8926266431808472,0.786030113697052,0.036917321383953094,0.906339704990387,0.7171728610992432
6,0.9117203950881958,0.010554498992860317,1e-04,0.9290446639060974,0.8995702266693115,0.36918988823890686,0.22146768867969513,0.8628808259963989,0.26790058612823486
7,0.9011268019676208,0.013341879472136497,1e-04,0.9166446924209595,0.8944861888885498,0.8034420609474182,0.03855165094137192,0.9154852628707886,0.7361952066421509
8,0.9246587157249451,0.008902309462428093,1e-04,0.9389293789863586,0.9138743281364441,0.824771523475647,0.03684667870402336,0.8753416538238525,0.7987076044082642
9,0.9349401593208313,0.007457058411091566,1e-04,0.9475059509277344,0.9248316287994385,0.8024380207061768,0.045873742550611496,0.8959485292434692,0.7470532655715942
10,0.9343947172164917,0.007493347395211458,1e-04,0.9476433992385864,0.9240685105323792,0.34699127078056335,0.261232852935791,0.920610249042511,0.24509206414222717
11,0.936724841594696,0.007333936169743538,1e-04,0.9487032294273376,0.9275381565093994,0.7982320785522461,0.043442003428936005,0.8289461731910706,0.8039165735244751
