,Image Name,Acc,F1,Jaccard,Recall,Precision
292,100293.jpg,0.99951171875,0.9422382671480145,0.8907849829351536,0.9388489208633094,0.9456521739130435
293,100294.jpg,0.9986419677734375,0.977336389101095,0.9556772908366534,0.9765903307888041,0.9780835881753313
294,100295.jpg,0.9982147216796875,0.0,0.0,0.0,0.0
295,100296.jpg,0.9558868408203125,0.650971870095376,0.4825487739395024,0.4825487739395024,1.0
296,100297.jpg,0.9990081787109375,0.9883741727776785,0.977015558698727,0.9836240655037379,0.9931703810208483
297,100298.jpg,0.99932861328125,0.9734939759036144,0.9483568075117371,0.9926289926289926,0.9550827423167849
298,100299.jpg,0.994140625,0.9789911368858737,0.9588468545707856,0.9718661742341951,0.986221340388007
299,100300.jpg,0.9976806640625,0.9950449863085148,0.9901388348254834,0.9973207867738352,0.9927795485591622
300,100301.jpg,0.99871826171875,0.9954682779456193,0.9909774436090225,0.9949315216219131,0.9960056137320522
301,100302.jpg,0.999053955078125,0.9885227693446872,0.9773060029282576,0.9837877671333825,0.9933035714285714
302,100303.jpg,0.99945068359375,0.9620253164556962,0.926829268292683,0.96,0.9640591966173362
303,100304.jpg,0.9987335205078125,0.9907438385190142,0.9816574585635359,0.9979779824758481,0.983613817537644
304,100305.jpg,0.999298095703125,0.9433497536945814,0.8927738927738927,0.9745547073791349,0.9140811455847255
305,100306.jpg,0.9979248046875,0.9474903474903474,0.9002201027146002,0.9295454545454546,0.9661417322834646
306,100307.jpg,0.994049072265625,0.867975626269465,0.7667464114832536,0.9223021582733812,0.819693094629156
307,100308.jpg,0.9994354248046875,0.9426356589147287,0.8914956011730205,0.9101796407185628,0.977491961414791
308,100309.jpg,0.99945068359375,0.9731343283582089,0.9476744186046512,0.9687964338781575,0.9775112443778111
309,100310.jpg,0.9993896484375,0.9761620977353993,0.9534342258440046,0.9796650717703349,0.9726840855106889
310,100311.jpg,0.9878387451171875,0.7841862984023827,0.644988864142539,0.662700228832952,0.9602122015915119
311,100312.jpg,0.9995269775390625,0.9219143576826196,0.8551401869158879,0.9336734693877551,0.9104477611940298
312,100313.jpg,0.9970550537109375,0.9843838498260378,0.9692479286169535,0.9887841352405722,0.9800225551796359
313,100314.jpg,0.9980316162109375,0.8967173738991192,0.8127721335268505,0.834575260804769,0.9688581314878892
314,100315.jpg,0.995635986328125,0.7538726333907058,0.6049723756906077,0.9733333333333334,0.6151685393258427
315,100316.jpg,0.97955322265625,0.6860356138706655,0.5221112696148359,0.7795527156549521,0.6125523012552301
316,100317.jpg,0.9996337890625,0.9890710382513661,0.9783783783783784,0.9917808219178083,0.9863760217983651
317,100318.jpg,0.9995574951171875,0.9409368635437881,0.8884615384615384,0.9058823529411765,0.9788135593220338
318,100319.jpg,0.9976654052734375,0.9912295786758384,0.9826116604159564,0.9949367088607595,0.9875499714448887
319,100320.jpg,0.9870758056640625,0.6650850138394622,0.4982227488151659,0.5112462006079027,0.9513574660633484
320,100321.jpg,0.99578857421875,0.9935912320624158,0.9872640856444096,0.9939605110336818,0.9932222273803445
321,100322.jpg,0.995513916015625,0.7302752293577981,0.5751445086705202,0.9544364508393285,0.5913818722139673
322,100323.jpg,0.999359130859375,0.9728682170542636,0.9471698113207547,0.9881889763779528,0.9580152671755725
323,100324.jpg,0.99957275390625,0.9453125000000001,0.8962962962962963,0.9603174603174603,0.9307692307692308
324,100325.jpg,0.9998016357421875,0.8686868686868686,0.7678571428571429,0.8269230769230769,0.9148936170212766
325,100326.jpg,0.9991607666015625,0.9005424954792043,0.819078947368421,0.9291044776119403,0.8736842105263158
326,100327.jpg,0.9994659423828125,0.890282131661442,0.8022598870056498,0.9793103448275862,0.8160919540229885
327,100328.jpg,0.9991607666015625,0.9019607843137254,0.8214285714285714,0.947565543071161,0.8605442176870748
328,100329.jpg,0.99969482421875,0.9509803921568627,0.9065420560747663,0.9150943396226415,0.9897959183673469
329,100330.jpg,0.9990997314453125,0.9201623815967525,0.8521303258145363,0.9659090909090909,0.8785529715762274
330,100331.jpg,0.999114990234375,0.8273809523809523,0.7055837563451777,0.852760736196319,0.8034682080924855
331,100332.jpg,0.99908447265625,0.9568345323741008,0.9172413793103448,0.9366197183098591,0.9779411764705882
332,100333.jpg,0.99859619140625,0.9645881447267127,0.9315985130111524,0.9683153013910355,0.9608895705521472
333,100334.jpg,0.9966583251953125,0.9682286377484404,0.938413948256468,0.952612046817014,0.9843657817109145
334,100335.jpg,0.9980926513671875,0.9815006659760248,0.963673350770125,0.9781710914454277,0.9848529848529849
335,100336.jpg,0.9976959228515625,0.9653590272998395,0.9330376940133037,0.95246717971933,0.9786046511627907
336,100337.jpg,0.9996490478515625,0.9705505761843789,0.9427860696517413,0.994750656167979,0.9475
337,100338.jpg,0.9924163818359375,0.031189083820662766,0.015841584158415842,0.015841584158415842,1.0
338,100339.jpg,0.999542236328125,0.9498327759197325,0.9044585987261147,0.922077922077922,0.9793103448275862
339,100340.jpg,0.9993743896484375,0.9559613319011815,0.9156378600823045,0.9508547008547008,0.9611231101511879
340,100341.jpg,0.998809814453125,0.9836134453781513,0.9677552707730467,0.9766374634960368,0.9906898011002963
341,100342.jpg,0.990203857421875,0.8940594059405941,0.8084153983885407,0.9861667273389152,0.8176878961666164
342,100343.jpg,0.9930267333984375,0.8400420021001049,0.724200362100181,0.8450704225352113,0.8350730688935282
343,100344.jpg,0.999847412109375,0.9333333333333332,0.875,0.9459459459459459,0.9210526315789473
344,100345.jpg,0.9987640380859375,0.7507692307692309,0.6009852216748769,0.6009852216748769,1.0
345,100346.jpg,0.9995574951171875,0.967452300785634,0.9369565217391305,0.9493392070484582,0.9862700228832952
346,100347.jpg,0.9959259033203125,0.7023411371237459,0.5412371134020618,0.625,0.8015267175572519
347,100348.jpg,0.9981536865234375,0.958116995500173,0.9196013289036545,0.9313593539703903,0.9864575908766928
348,100349.jpg,0.9970245361328125,0.8999486916367369,0.8180970149253731,0.8976458546571137,0.9022633744855967
349,100350.jpg,0.998687744140625,0.9937816341287057,0.9876401264731245,0.9966642494561276,0.9909156452775775
350,100351.jpg,0.9981231689453125,0.6684636118598383,0.5020242914979757,0.5232067510548524,0.9253731343283582
351,100352.jpg,0.999481201171875,0.8896103896103895,0.8011695906432749,0.8203592814371258,0.9716312056737588
